"","FID","GEOID","ALAND"
"223",0,"061110061001",3081656
"224",0,"061110062001",5284520
"225",0,"061110062002",990672
"226",0,"060170307091",12677836
"227",0,"060375519001",343472
"228",0,"060375519002",134354
"229",0,"060375519003",458758
"230",0,"060375519004",185566
"231",0,"060375519005",234644
"232",0,"060375519006",184227
"233",0,"060375521001",281787
"234",0,"060552008032",3044744
"235",0,"060552008021",343727
"236",0,"060552008022",5461318
"237",0,"060552008023",8040516
"238",0,"060372013023",151416
"239",0,"060133240011",287817
"240",0,"060133630004",1227830
"241",0,"060133511012",1222679
"242",0,"060952521062",963612
"243",0,"060952512001",415274
"244",0,"060952501032",887049
"245",0,"060952518041",274271
"246",0,"060855047001",6406664
"247",0,"060855042023",1014975
"248",0,"060730032122",805679
"249",0,"060730186111",12583972
"250",0,"060730139061",1565055
"251",0,"060730201033",12023905
"252",0,"060730191053",22347032
"253",0,"060730211001",347942787
"254",0,"060730032071",2005918
"255",0,"060730085072",122378
"256",0,"060730169011",33937812
"257",0,"060730137023",1034699
"258",0,"060730188012",4900787
"259",0,"060730167011",5190713
"260",0,"060730170192",1240159
"261",0,"060730083391",11804262
"262",0,"060372013024",311766
"263",0,"060133361024",127380
"264",0,"060133240014",170439
"265",0,"060952501053",833015
"266",0,"060952523052",4041059
"267",0,"060952523061",729230
"268",0,"060952519033",630978
"269",0,"060375503001",297140
"270",0,"060730086001",2036592
"271",0,"060730192081",26031768
"272",0,"060730027073",117438
"273",0,"060730203071",13719759
"274",0,"060730018005",97472
"275",0,"060730045012",79565
"276",0,"060730197011",1865884
"277",0,"060730198061",939969
"278",0,"060730156021",2922935
"279",0,"060375504001",815257
"280",0,"060133240013",229011
"281",0,"060133240012",935580
"282",0,"060375503002",402986
"283",0,"060375503003",177171
"284",0,"060375503004",639664
"285",0,"060375503005",344457
"286",0,"060375503006",225433
"287",0,"060375512022",161760
"288",0,"060375512011",320043
"289",0,"060375512012",468670
"290",0,"060375512021",360862
"291",0,"060375512023",482209
"292",0,"060375512024",396237
"293",0,"060375508001",315111
"294",0,"060375513001",600220
"295",0,"060375513002",356207
"296",0,"060372131002",283810
"297",0,"060372132011",140620
"298",0,"060372132012",133812
"299",0,"060375513003",573757
"300",0,"060952529042",26165291
"301",0,"060952529082",426060
"302",0,"060952529083",276768
"303",0,"060133511011",467566
"304",0,"060133511013",739361
"305",0,"060133381012",335697
"306",0,"060375507002",501335
"307",0,"060375507003",318007
"308",0,"060375507004",371684
"309",0,"060375507005",385731
"310",0,"060375507006",205757
"311",0,"060375508002",322252
"312",0,"060375508003",273412
"313",0,"060375521002",240225
"314",0,"060375521003",325071
"315",0,"060375527004",181905
"316",0,"060375521004",305101
"317",0,"060375521005",309679
"318",0,"060375522001",762460
"319",0,"060375522002",551983
"320",0,"060375522003",374513
"321",0,"060375439031",868106
"322",0,"060375439032",473463
"323",0,"061110063021",945466
"324",0,"061110063022",639930
"325",0,"061110064002",1403033
"326",0,"061110064003",535360
"327",0,"061110064005",731170
"328",0,"060371434003",202547
"329",0,"060371434004",358642
"330",0,"060371435001",241709
"331",0,"060371435002",301475
"332",0,"060371435003",264022
"333",0,"060952521072",762141
"334",0,"060952523161",762159
"335",0,"060952523162",526549
"336",0,"060952521063",522352
"337",0,"060952526072",460480
"338",0,"060375526011",135714
"339",0,"060375526013",147795
"340",0,"060375526021",703665
"341",0,"060375526023",480984
"342",0,"060375527003",256999
"343",0,"060375527005",268337
"344",0,"060375528001",181425
"345",0,"060375528002",550967
"346",0,"060375528004",318920
"347",0,"060375529005",329607
"348",0,"060375529002",160882
"349",0,"060375529003",162354
"350",0,"060375529004",324395
"351",0,"060375530002",172151
"352",0,"060730152002",766778
"353",0,"060371926201",110516
"354",0,"060371926202",133044
"355",0,"060371927002",206868
"356",0,"060371942001",1886167
"357",0,"060552009001",4860169
"358",0,"060552012004",3283510
"359",0,"060552013001",973085
"360",0,"060552013003",2277473
"361",0,"060375530003",549146
"362",0,"060730155012",17476231
"363",0,"060730153012",294235
"364",0,"060730059001",156868
"365",0,"060730027081",165559
"366",0,"060372049101",518337
"367",0,"060372049201",304502
"368",0,"060372049202",605470
"369",0,"060372051101",286962
"370",0,"060730186081",3691545
"371",0,"060730178081",1783465
"372",0,"060730185121",1432004
"373",0,"060730207061",4586264
"374",0,"060730213042",4426470
"375",0,"060730200151",1040533
"376",0,"060730083521",195388
"377",0,"060730133093",365394
"378",0,"060730189031",5510195
"379",0,"060730203072",6977238
"380",0,"060730200221",2882960
"381",0,"060730192072",1677816
"382",0,"060372122032",53516
"383",0,"060372119102",42793
"384",0,"060372122022",71372
"385",0,"060372122031",52800
"386",0,"060372123062",79030
"387",0,"060372122041",141577
"388",0,"060372123031",155646
"389",0,"060372123041",205676
"390",0,"060372124101",89517
"391",0,"060372126101",198326
"392",0,"060310004043",638153
"393",0,"060310006023",489169
"394",0,"060310010022",720776
"395",0,"060310016012",204025355
"396",0,"060310011001",5397188
"397",0,"060372128003",262785
"398",0,"060310009001",353413
"399",0,"060372126102",158830
"400",0,"060372128001",322451
"401",0,"060372129002",192175
"402",0,"060952510003",272580
"403",0,"060375508004",232065
"404",0,"060375508005",441837
"405",0,"060375508006",1064083
"406",0,"060375508007",211466
"407",0,"060375524001",529440
"408",0,"060375505001",636996
"409",0,"060375505002",191631
"410",0,"060375524003",226653
"411",0,"060375505003",495963
"412",0,"060375530004",366117
"413",0,"060375531003",482306
"414",0,"060372014011",343727
"415",0,"060952532031",556959
"416",0,"060952516001",246058
"417",0,"060372051201",327564
"418",0,"060372060101",1113081
"419",0,"060372060102",305056
"420",0,"060372060201",843243
"421",0,"061110042002",357558
"422",0,"061110053061",1361093
"423",0,"061110053062",1252125
"424",0,"060952504001",252432
"425",0,"060952505012",994383
"426",0,"060952519021",319693
"427",0,"060952501062",1963944
"428",0,"060952522014",34340024
"429",0,"060952525021",516898
"430",0,"060952527032",491223
"431",0,"060552002012",574338
"432",0,"060552014012",31226046
"433",0,"061110065001",749163
"434",0,"061110065002",802296
"435",0,"061110066001",1307060
"436",0,"061110066002",982436
"437",0,"061110067002",1583394
"438",0,"061110068001",1066898
"439",0,"060730134102",724319
"440",0,"060730163021",419104
"441",0,"060730176041",2872852
"442",0,"060179900000",0
"443",0,"060375505004",418592
"444",0,"060375505005",486179
"445",0,"060730132043",359049
"446",0,"060730098022",174496
"447",0,"060730076003",1337168
"448",0,"060730046001",194461
"449",0,"060730027071",106482
"450",0,"060310004022",35090627
"451",0,"060990028023",23764853
"452",0,"060730083461",9918442
"453",0,"060730095062",444109
"454",0,"060375531001",657292
"455",0,"060952529034",134266170
"456",0,"060952507011",1664402
"457",0,"060952506013",360267
"458",0,"060952517022",349473
"459",0,"060952507012",511644
"460",0,"060952515001",492282
"461",0,"060952510002",208471
"462",0,"060310015002",733117
"463",0,"060371954002",262877
"464",0,"060371955001",318762
"465",0,"060371955002",408668
"466",0,"060371956002",153050
"467",0,"060310013001",1300242
"468",0,"060310006021",827243
"469",0,"060310017011",17864442
"470",0,"060310004023",1254522
"471",0,"060310004031",1957826
"472",0,"060552015001",97669451
"473",0,"060952512003",336308
"474",0,"060952501033",548015
"475",0,"060133050001",453706
"476",0,"060375436022",458095
"477",0,"060375436031",742590
"478",0,"060375436041",770834
"479",0,"060375510001",476672
"480",0,"060375510002",233600
"481",0,"060375510003",675256
"482",0,"060375510004",237943
"483",0,"060375510006",467124
"484",0,"060552002031",353528
"485",0,"060552005012",674615
"486",0,"060552008044",283989
"487",0,"060552002021",421044
"488",0,"060552017001",99071056
"489",0,"060552019001",141559686
"490",0,"060552002023",384983
"491",0,"060952502003",560007
"492",0,"060952510001",246346
"493",0,"060952506011",886010
"494",0,"060952511002",261261
"495",0,"060552002011",446755
"496",0,"060952505021",662692
"497",0,"060371945001",226535
"498",0,"061110044001",385351
"499",0,"060952527043",264419
"500",0,"060952527044",298833
"501",0,"060952527061",4190933
"502",0,"060952527071",907397
"503",0,"060952529041",10415624
